t,X_t
0.3345,1.0372075618139749
0.335,1.044936593465856
0.3355,1.0536832455707332
0.336,1.0401403129461602
0.3365,1.0382411438975663
0.337,1.0361538399598584
0.3375,1.0271215798744138
0.338,1.0223360229622669
0.3385,1.0153302136509685
0.339,1.0275464755962178
0.3395,1.0342543308836938
0.34,1.0431985459451139
0.3405,1.0484316729582408
0.341,1.0412366842441705
0.3415,1.0381150036206264
0.342,1.0418025404676692
0.3425,1.0339997515428743
0.343,1.0391976910371654
0.3435,1.0379875450285685
0.34400000000000003,1.0358782017508104
0.34450000000000003,1.0410577707009856
0.34500000000000003,1.044435335167409
0.34550000000000003,1.0424028121764437
0.34600000000000003,1.0505738258919943
0.34650000000000003,1.043695398061778
0.34700000000000003,1.0482179812272934
0.34750000000000003,1.052576080465299
0.34800000000000003,1.0508681396226385
0.34850000000000003,1.0534287360959043
0.34900000000000003,1.0454024392425532
0.34950000000000003,1.0519874948284262
0.35000000000000003,1.0511171648525408
0.35050000000000003,1.0479828393185557
0.35100000000000003,1.0553998500342465
0.35150000000000003,1.051036469294431
0.352,1.0419606325141555
0.3525,1.0319135449895938
0.353,1.0363989994658702
0.3535,1.0282186207495023
0.354,1.040419591429943
0.3545,1.0268525354102165
0.355,1.038665579352768
0.3555,1.0404844636077006
0.356,1.040234481171308
0.3565,1.036978466607354
0.357,1.0400635068927346
0.3575,1.040210886866698
0.358,1.0480115336732085
0.3585,1.0491577672009804
0.359,1.050543127650278
0.3595,1.0484775849592742
0.36,1.0484743881398917
0.3605,1.050917999206054
0.361,1.0398185458711835
0.3615,1.0311750967561977
0.362,1.0365831261327159
0.3625,1.0381378685213623
0.363,1.0373083261096234
0.3635,1.03783871387663
0.364,1.0405757660547106
0.3645,1.037353508629518
0.365,1.0325390980383176
0.3655,1.0342715202036292
0.366,1.0281227172888727
0.3665,1.031291053236988
0.367,1.0202915475745384
0.3675,1.027644604599064
0.368,1.0312457733775786
0.3685,1.0333851586146958
0.369,1.040393787241094
0.3695,1.0519651449908125
0.37,1.0591398333874997
0.3705,1.0471430240461754
0.371,1.038941503245868
0.3715,1.0351527390477566
0.372,1.0357398812857646
0.3725,1.039623093859355
0.373,1.0351555986233234
0.3735,1.0368205791706904
0.374,1.0321612649654084
0.3745,1.0284786756721709
0.375,1.0194713094814192
0.3755,1.0137293943155403
0.376,1.0051276948428571
0.3765,0.9990685188125065
0.377,1.0066388915589257
0.3775,1.0007535329704556
0.378,1.0189102048572125
0.3785,1.022672206427731
0.379,1.0243554443234995
0.3795,1.0190365166761877
0.38,1.0241867468715167
0.3805,1.0207647840746743
0.381,1.022031338832895
0.3815,1.0396498296529582
0.382,1.0394063156817372
0.3825,1.047517359739439
0.383,1.04318151547982
0.3835,1.0433388517615767
0.384,1.0556093964198152
0.3845,1.0517645500461663
0.385,1.0642934132152586
0.3855,1.069380423998877
0.386,1.0659338311009257
0.3865,1.0705113166052487
0.387,1.0773591318972913
0.3875,1.0818369621013606
0.388,1.0715989820552303
0.3885,1.0670422001377573
0.389,1.0657141891530395
0.3895,1.0655505890583585
0.39,1.0700503075912946
0.3905,1.071567236375586
0.391,1.0629305560063071
0.3915,1.0658236743355374
0.392,1.0702550488473395
0.3925,1.0743345997094078
0.393,1.0818988607234692
0.3935,1.0877882334482039
0.394,1.091149036477789
0.3945,1.090950477985061
0.395,1.0800810371241587
0.3955,1.083262801158407
0.396,1.08494785551527
0.3965,1.0870572921001396
0.397,1.0787749590527584
0.3975,1.0718260739195058
0.398,1.0792112728469578
0.3985,1.0792479006261886
0.399,1.0841214265327392
0.3995,1.0846010884085278
0.4,1.085089195939488
0.4005,1.0916706720666878
0.401,1.0884797621113476
0.4015,1.0894033604799396
0.402,1.0865788151691511
0.4025,1.0839476788297107
0.403,1.082163819978165
0.4035,1.0839485290686337
0.404,1.0810271143594405
0.4045,1.0897484147533745
0.405,1.0840228354936994
0.4055,1.0830592053067292
0.406,1.0804017516791056
0.40650000000000003,1.0904073700339691
0.40700000000000003,1.0919998811336307
0.40750000000000003,1.099191705028188
0.40800000000000003,1.0894782838292456
0.40850000000000003,1.0915460157633516
0.40900000000000003,1.097784975525617
0.40950000000000003,1.098592490867242
0.41000000000000003,1.105993469282088
0.41050000000000003,1.102758409193683
0.41100000000000003,1.1124557032112097
0.41150000000000003,1.1280960413864598
0.41200000000000003,1.12584180622499
0.41250000000000003,1.1230386799434284
0.41300000000000003,1.1329806827084044
0.41350000000000003,1.1437443230812907
0.41400000000000003,1.1403775105832912
0.41450000000000004,1.1377078679480062
0.41500000000000004,1.1359733296568604
0.41550000000000004,1.1271145481275473
0.41600000000000004,1.121134257157225
0.4165,1.1145954404740228
0.417,1.1096584092272428
0.4175,1.1096515899062085
0.418,1.1114486211212937
0.4185,1.122071073071728
0.419,1.1155687328869381
0.4195,1.1223828464390286
0.42,1.1211414085165865
0.4205,1.1210067423436885
0.421,1.1257310522589083
0.4215,1.1183852763481132
0.422,1.1211545957204208
0.4225,1.1224683045888275
0.423,1.1259655973331393
0.4235,1.1280904855740244
0.424,1.1447409134141058
0.4245,1.1406009712603038
0.425,1.1371874329704648
0.4255,1.1331643106581764
0.426,1.1296051460863665
0.4265,1.1255054103872286
0.427,1.133667812231043
0.4275,1.143362674882963
0.428,1.139675585663566
0.4285,1.1342427857706716
0.429,1.1375695304954374
0.4295,1.1340211818719363
0.43,1.138431964626128
0.4305,1.139947133721032
0.431,1.1299293452538421
0.4315,1.140485502367833
0.432,1.1526814022808607
0.4325,1.14868898727186
0.433,1.1462164836746815
0.4335,1.148268585803721
0.434,1.1506415186930536
0.4345,1.1551825641759899
0.435,1.1687794697576304
0.4355,1.167670522995916
0.436,1.16239620597331
0.4365,1.1532374607888376
0.437,1.1484511393685453
0.4375,1.1483577890304202
0.438,1.1605251546749917
0.4385,1.1571515996366037
0.439,1.1587599358547422
0.4395,1.158752867879087
0.44,1.1668279701396898
0.4405,1.183862078250746
0.441,1.180341247064974
0.4415,1.1771071343542905
0.442,1.1841688106201216
0.4425,1.1887826557658203
0.443,1.2011987884710837
0.4435,1.205112900849007
0.444,1.2026899139805507
0.4445,1.2066454222535992
0.445,1.2140662184172075
0.4455,1.2195350146656183
0.446,1.222889074779283
0.4465,1.2299873234397345
0.447,1.237756228409217
0.4475,1.246933642217211
0.448,1.2511679863306482
0.4485,1.2499190042012482
0.449,1.2507783920190285
0.4495,1.258744954232708
0.45,1.2531179207664107
0.4505,1.2554582617048833
0.451,1.252681019082962
0.4515,1.252742142669505
0.452,1.2611864031250846
0.4525,1.2623153686368598
0.453,1.2624710860502204
0.4535,1.25319271602254
0.454,1.258065755338749
0.4545,1.262250630472699
0.455,1.2766065577383927
0.4555,1.2743504021779972
0.456,1.275634631262396
0.4565,1.2771184612920097
0.457,1.287507543433423
0.4575,1.2866495127097317
0.458,1.2883046222243821
0.4585,1.2921617544258543
0.459,1.2931831620935874
0.4595,1.2899554364596255
0.46,1.2910325431220957
0.4605,1.298007102490756
0.461,1.290876010766249
0.4615,1.2915408084303486
0.462,1.2866154032052732
0.4625,1.2944154811929336
0.463,1.2839615941053493
0.4635,1.2800023283862587
0.464,1.2823327367489863
0.4645,1.2926287593564458
0.465,1.291956121298162
0.4655,1.2880018393466315
0.466,1.3004010199991352
0.4665,1.2904364449080514
0.467,1.2754603150307793
0.4675,1.2782233709074067
0.468,1.274659930358008
0.4685,1.2676226425322392
0.46900000000000003,1.2722053854312934
0.46950000000000003,1.2736603368745814
0.47000000000000003,1.2696922315434478
0.47050000000000003,1.260929457962629
0.47100000000000003,1.2666297559982291
0.47150000000000003,1.2708248637071315
0.47200000000000003,1.2699825096284498
0.47250000000000003,1.2821951709131645
0.47300000000000003,1.2748113361483049
0.47350000000000003,1.2643907738572102
0.47400000000000003,1.2595883364872618
0.47450000000000003,1.2591335653518607
0.47500000000000003,1.2606181020893599
0.47550000000000003,1.2588482961621639
0.47600000000000003,1.2610628348171133
0.47650000000000003,1.2525145960430384
0.47700000000000004,1.2620683769475785
0.47750000000000004,1.2613621191472568
0.47800000000000004,1.2687037621406132
0.47850000000000004,1.2708310742515996
0.47900000000000004,1.2737179903068798
0.47950000000000004,1.277355810440976
0.48,1.2801657412377954
0.4805,1.284276842229951
0.481,1.2929823763539021
0.4815,1.294068224496428
0.482,1.298589195729999
0.4825,1.297740757403371
0.483,1.3071570054778008
0.4835,1.30235173546352
0.484,1.3141769318191105
0.4845,1.3136221017671292
0.485,1.303740115346161
0.4855,1.3043401155976706
0.486,1.2995106319017682
0.4865,1.30490106368317
0.487,1.3002608762795622
0.4875,1.2970171346275559
0.488,1.2840991672290405
0.4885,1.280854756281487
0.489,1.264392742559987
0.4895,1.2536066175543834
0.49,1.258573617597175
0.4905,1.2636984912676021
0.491,1.2663933011285107
0.4915,1.2597406447097168
0.492,1.259271235591046
0.4925,1.2590988909351741
0.493,1.2511805971445265
0.4935,1.2611377480516923
0.494,1.2668704288494295
0.4945,1.2652209800374803
0.495,1.2652382832782583
0.4955,1.2664730619418016
0.496,1.2526105054134622
0.4965,1.2508208628604789
0.497,1.2461189212890063
0.4975,1.2392845526965366
0.498,1.2373006632246308
0.4985,1.2492666593953823
0.499,1.2534423973489595
0.4995,1.2494772062101651
0.5,1.2531945152602144
0.5005,1.2691930665349707
0.501,1.28000681366851
0.5015,1.2810095073166035
0.502,1.2739173538881292
0.5025,1.282191573437113
0.503,1.2870247180004764
0.5035,1.2976514900663931
0.504,1.3053480547982854
0.5045,1.3179283269260886
0.505,1.3119485048723287
0.5055,1.3277353527499016
0.506,1.33041390559502
0.5065,1.3554412495753727
0.507,1.347424786107423
0.5075,1.368683015712155
0.508,1.3714479851526817
0.5085,1.363800160662344
0.509,1.358238574779041
0.5095,1.354686409522649
0.51,1.360164565691286
0.5105,1.3668652569709656
0.511,1.3601931381853958
0.5115,1.3602368900280626
0.512,1.3866405143972402
0.5125,1.4084130110758566
0.513,1.4142615834842402
0.5135,1.4150958754032126
0.514,1.416968886149007
0.5145,1.4250987048485388
0.515,1.4124179844542997
0.5155,1.40951963815472
0.516,1.3888359668913206
0.5165,1.394142376024256
0.517,1.4025611786603158
0.5175,1.3968502986354325
0.518,1.4168646010237584
0.5185,1.4016849068051502
0.519,1.3836763855654444
0.5195,1.386800115391775
0.52,1.400134936188872
0.5205,1.4215731122741395
0.521,1.4160938213091143
0.5215,1.4301103387383016
0.522,1.4299752931014553
0.5225,1.428124868593856
0.523,1.4397693628470418
0.5235,1.4485297161276212
0.524,1.4284680429600505
0.5245,1.4476903351349448
0.525,1.4659224202997116
0.5255,1.4580867675289362
0.526,1.463613170706117
0.5265,1.4704464005259443
0.527,1.474242412376196
0.5275,1.467354635464406
0.528,1.4589068077343545
0.5285,1.458938082962452
0.529,1.4746059213638336
0.5295,1.4821442654911354
0.53,1.4776016780519836
0.5305,1.488169903563384
0.531,1.4506261452702918
0.5315,1.465893800907869
0.532,1.4434502733265862
0.5325,1.439131801624248
0.533,1.425079209200633
0.5335,1.4089330857648703
0.534,1.4239139196337627
0.5345,1.4183133148838352
0.535,1.4230635652052037
0.5355,1.4228221134185706
0.536,1.4292486919687326
0.5365,1.4305880636177093
0.537,1.414529095574435
0.5375,1.4274874287540595
0.538,1.421540097676278
0.5385,1.4021041024159524
0.539,1.397085721686155
0.5395,1.4161883592599465
0.54,1.4273119728037933
0.5405,1.4232178147733907
0.541,1.4191276918963003
0.5415,1.4153999395451828
0.542,1.4420448415012999
0.5425,1.4473315718983817
0.543,1.4532604345907523
0.5435,1.4670157413134663
0.544,1.4705157403797282
0.5445,1.4674762675926563
0.545,1.4652659453882964
0.5455,1.464693874597315
0.546,1.4645724136795022
0.5465,1.474470164656315
0.547,1.4755238477640917
0.5475,1.4855617362574411
0.548,1.4848606238508275
0.5485,1.486276192746697
0.549,1.4600843644775003
0.5495,1.4724160674766276
0.55,1.477347317196054
0.5505,1.4909041561332654
0.551,1.4526551656232303
0.5515,1.4801524624837807
0.552,1.4786744894125317
0.5525,1.4937006146113732
0.553,1.4801808295575063
0.5535,1.4886634741693276
0.554,1.4750094003367713
0.5545,1.467148840430496
0.555,1.4926326536848042
0.5555,1.4904601041083327
0.556,1.4937313342574865
0.5565,1.5057291671122814
0.557,1.5127812701246264
0.5575,1.515194742586355
0.558,1.5205196072928044
0.5585,1.5535860469007756
0.559,1.5531737901227858
0.5595,1.5563557532773136
0.56,1.5713704442133047
0.5605,1.587301193487678
0.5609999999999999,1.6045505889197074
0.5615,1.6141184868285254
0.562,1.598020323489744
0.5625,1.6217666750163562
0.563,1.6055437782341928
0.5635,1.610291136601565
0.5640000000000001,1.599829963488358
0.5645,1.599312145225357
0.565,1.6044148152233806
0.5655,1.6094274985628274
0.5660000000000001,1.6159034710065252
0.5665,1.6396305449832158
0.567,1.646691669858317
0.5675,1.6435072920159715
0.5680000000000001,1.658090227176778
0.5685,1.6761450845806938
0.569,1.6581599504434292
0.5695,1.6674345508601933
0.5700000000000001,1.6783086913731926
0.5705,1.674261468619113
0.571,1.6952813120585006
0.5715,1.693429830964323
0.5720000000000001,1.6957552317813467
0.5725,1.6935541390208737
0.573,1.6942135128725253
0.5735,1.6780246547790665
0.574,1.6568308566117231
0.5745,1.6808742671619066
0.575,1.668561102396936
0.5755,1.6541826396035595
0.576,1.6227357894431143
0.5765,1.6138674610930472
0.577,1.595172299587709
0.5775,1.61899879812871
0.578,1.6340264722690596
0.5785,1.6243775397373674
0.579,1.6575089910320016
0.5795,1.6724782488839978
0.58,1.6680371832251997
0.5805,1.6311646135786315
0.581,1.6649962942895264
0.5815,1.6447187806413137
0.582,1.6209248087221695
0.5825,1.636155258107238
0.583,1.672268164320064
0.5835,1.6933911060646143
0.584,1.7023555062432412
0.5845,1.7118370213133165
0.585,1.725331742069504
0.5855,1.7374747367174461
0.586,1.7422789456770065
0.5865,1.7443383246299475
0.587,1.743797841477456
0.5875,1.7324742036994605
0.588,1.7285580597486543
0.5885,1.7028159131915204
0.589,1.7017438605444526
0.5895,1.6871220898583492
0.59,1.6708906207127223
0.5905,1.6739968434753034
0.591,1.6952573515776617
0.5915,1.7096054561702911
0.592,1.6860180563038718
0.5925,1.6715157666929628
0.593,1.685998637302117
0.5935,1.6716041973447564
0.594,1.6686635447170468
0.5945,1.6772902274387889
0.595,1.663182311045128
0.5955,1.6651656678920717
0.596,1.6457133911207527
0.5965,1.6372728633151798
0.597,1.6423651365057088
0.5975,1.6193750315949922
0.598,1.626159768986527
0.5985,1.6262806807735712
0.599,1.6347237126992318
0.5995,1.6384063347441098
0.6,1.6588065300346002
0.6005,1.6610791646530725
0.601,1.6551146946087119
0.6015,1.6573389405527645
0.602,1.6658069569193026
0.6025,1.6669513958743336
0.603,1.667973342303668
0.6035,1.6579174570544915
0.604,1.648501868508798
0.6045,1.6282330716192854
0.605,1.6541198446656127
0.6055,1.636130545353125
0.606,1.6263996057654038
0.6065,1.6163555636894291
0.607,1.6296976849685512
0.6075,1.6258057874306087
0.608,1.6443564661852768
0.6085,1.6348621438918458
0.609,1.6393504938465944
0.6095,1.6275118075604575
0.61,1.659145424319572
0.6105,1.6419364308738846
0.611,1.6468969189732507
0.6115,1.6566443628951173
0.612,1.66318998285974
0.6125,1.6608494367979794
0.613,1.6593361511132323
0.6135,1.6604012154661882
0.614,1.6586331772909393
0.6145,1.67334723880646
0.615,1.7068501919896495
0.6155,1.6987659382356541
0.616,1.6783775357783688
0.6165,1.6774718519663356
0.617,1.7165965709626032
0.6175,1.704686336674888
0.618,1.730104414145379
0.6185,1.7564985622859557
0.619,1.7482404830808218
0.6195,1.7575745826765001
0.62,1.7836127375774247
0.6205,1.7780103714354962
0.621,1.7752173338880297
0.6214999999999999,1.7664251932357142
0.622,1.750834264994482
0.6225,1.7411043276319682
0.623,1.722479291445503
0.6234999999999999,1.723435012194167
0.624,1.7119968326334298
0.6245,1.7160046938540803
0.625,1.692553166717149
0.6255,1.6979853869372308
0.626,1.711068890171434
0.6265000000000001,1.6809839979618213
0.627,1.6870282510538808
0.6275,1.7059745994446867
0.628,1.6879435428492198
0.6285000000000001,1.71361706660157
0.629,1.7204677991060497
0.6295,1.7100489596911224
0.63,1.70962347592027
0.6305000000000001,1.7185884468945158
0.631,1.7201864125806068
0.6315,1.7289056592190644
0.632,1.7151007711866755
0.6325000000000001,1.7181275969113516
0.633,1.696832012081329
0.6335,1.695568150281702
0.634,1.6822837201833984
0.6345000000000001,1.6716369169497147
0.635,1.690536366143419
0.6355,1.7074602825230525
0.636,1.717189898301492
0.6365000000000001,1.7008423494175875
0.637,1.6964541026649176
0.6375,1.7152852108863723
0.638,1.7178882498653452
0.6385000000000001,1.7539548224488355
0.639,1.7605636219688108
0.6395,1.764027952581645
0.64,1.7595917367935299
0.6405000000000001,1.7621333371351977
0.641,1.7601707934226547
0.6415,1.7717589069651718
0.642,1.787362797684023
0.6425000000000001,1.775244293007366
0.643,1.7545504309217792
0.6435,1.7261731741912565
0.644,1.7344477795925914
0.6445,1.717764454311863
0.645,1.6851165563480202
0.6455,1.691394546879843
0.646,1.729532222002962
0.6465,1.7298706916602045
0.647,1.7432766523623715
0.6475,1.7449883827380834
0.648,1.7438811946812778
0.6485,1.7586526879719482
0.649,1.7545263709275616
0.6495,1.7591611796593003
0.65,1.7646626970388664
0.6505,1.7545589748684383
0.651,1.7705659857470533
0.6515,1.7682378904215634
0.652,1.7567273863767383
0.6525,1.7655965582302968
0.653,1.7518493728340292
0.6535,1.7527289062149665
0.654,1.7530241309896466
0.6545,1.770488713142997
0.655,1.7784485295382726
0.6555,1.778495039659207
0.656,1.7919481526185814
0.6565,1.8146779296048523
0.657,1.8241854030147588
0.6575,1.8248103628170826
0.658,1.8038552990670549
0.6585,1.7871215355527583
0.659,1.782689451359865
0.6595,1.773416537488315
0.66,1.770894167824604
0.6605,1.7722341898621108
0.661,1.7810735907286757
0.6615,1.7803957849350258
0.662,1.7885881034179447
0.6625,1.790066687524108
0.663,1.7588853187745213
0.6635,1.7445474640178167
0.664,1.7427353008995627
0.6645,1.7243148698581992
0.665,1.73399849402953
0.6655,1.7581729502315249
0.666,1.777778226729341
0.6665,1.7748287307403103
0.667,1.7989370456537954
0.6675,1.801778866371749
0.668,1.7967969683776346
0.6685,1.7873881484777752
0.669,1.782999447236911
0.6695,1.7772546960955882
0.67,1.7804079885176227
0.6705,1.7834101433547014
0.671,1.7839045838878025
0.6715,1.7913222264744126
0.672,1.8108466786485773
0.6725,1.8266790386085707
0.673,1.8028749790815155
0.6735,1.7621426876584956
